1.d-2   -2276.04035344   -2277.29612594  5    8
5.d-3   -2277.58722269   -2277.75390118  16   14  
1.d-3   -2278.08316827   -2278.09893363  9    9  
5.d-4   -2278.10268411   -2278.11040525  7    16  
1.d-4   -2278.11517363   -2278.11626048  11   8
5.d-5   -2278.11618785   -2278.11639065  10   10   
1.d-5   -2278.11643881   -2278.11645082  10   7

