#            NoMIC
#       log(L)          log(RelError)
  0.393540107347963  -3.09668203938085
  0.870661362067626  -3.71849336661178
  1.092510111683982  -3.95069137577253
  1.238638147362220  -4.10175437495038
  1.347782616787288  -4.21356864999351
  1.434932792506188  -4.30236617020264
  1.507483459654800  -4.37604364689683
  1.569631366403645  -4.43898766893123
  1.623989028726237  -4.49395628689044
  1.672293708300792  -4.54273877305517
  1.715759402081882  -4.58659003172900
  1.755267943365556  -4.62641209977567
  1.791480116020001  -4.66288870463734
  1.824903871506951  -4.69653762428042
  1.855938105246919  -4.72776681446666
  1.884901801182236  -4.75689721889157



