#    L      log(AbsError CellF) 
  2.474580  -2.45633101570992
  4.949160  -2.01092472900073
  7.423740  -3.01905637077370
  9.898320  -3.78299460127464
 12.372900  -4.59216707108662
 14.847480  -5.32494893139389
 17.322060  -6.10979142942494
# 19.796640  -6.70186770821990
# 22.271220  -6.83154966090616
# 24.745800   0

