#                MIC           
#    L       log(RelError)
  2.4748  -3.03216869570480
  4.9496  -3.93411264998574
  7.4244  -4.96132099181872
  9.8992  -5.79927126890480
 12.3740  -6.65843662169074
 14.8488  -7.44102121067321
 17.3236  -8.24708358999113
# 19.7984  -8.99892527947439
# 22.2732  -9.72125606791418

