#     L       log(AbsError F)   
  2.474580  -1.12886841274938  
  4.949160  -2.13495350060083  
  7.423740  -2.46354130511526  
  9.898320  -3.17473620497071  
 12.372900  -3.93832138475466  
 14.847480  -4.65130580973444  
 17.322060  -5.40120949323681  
# 19.796640  -6.14266750356817  
# 22.271220  -6.92081875394868  
# 24.745800   0                 


