   9   20  1.670 
   9   21  1.650 
   9   26  1.650 
  10   19  1.671 
  10   22  1.650 
  10   25  1.650 
  10   72  1.627 
  11   13  1.627 
  11   23  1.650 
  11   28  1.650 
  12   14  1.627 
  12   24  1.650 
  12   27  1.650 
  15   65  1.627 
  37   48  1.671 
  37   49  1.650 
  37   54  1.650 
  38   47  1.671 
  38   50  1.650 
  38   53  1.650 
  38  100  1.627 
  39   41  1.627 
  39   51  1.650 
  39   56  1.650 
  40   42  1.627 
  40   52  1.650 
  40   55  1.650 
  43   93  1.627 
  65   76  1.671 
  65   77  1.650 
  65   82  1.650 
  66   75  1.671 
  66   78  1.650 
  66   81  1.650 
  66  128  1.627 
  67   69  1.627 
  67   79  1.650 
  67   84  1.650 
  68   70  1.627 
  68   80  1.650 
  68   83  1.650 
  71  121  1.627 
  93  104  1.671 
  93  105  1.650 
  93  110  1.650 
  94  103  1.671 
  94  106  1.650 
  94  109  1.650 
  94  156  1.627 
  95   97  1.627 
  95  107  1.650 
  95  112  1.650 
  96   98  1.627 
  96  108  1.650 
  96  111  1.650 
  99  149  1.627 
 121  132  1.671 
 121  133  1.650 
 121  138  1.650 
 122  131  1.671 
 122  134  1.650 
 122  137  1.650 
 123  125  1.628 
 123  135  1.650 
 123  140  1.650 
 124  126  1.628 
 124  136  1.650 
 124  139  1.650 
 149  160  1.670 
 149  161  1.650 
 149  166  1.650 
 150  159  1.670 
 150  162  1.650 
 150  165  1.650 
 151  153  1.628 
 151  163  1.650 
 151  168  1.650 
 152  154  1.627 
 152  164  1.650 
 152  167  1.650 
