 Mg1
 Mg     0.0000000000     0.0000000000     0.0000000000 
 Mg    -0.0001504001     0.0000867556     0.5000166370 
 Mg     0.4997796220    -0.5000429879     0.0000300216 
 Mg     0.4999279333    -0.4999903497     0.5000666730 

 Mg2
 Mg     0.0068014280     0.2777895293    -0.2498982809 
 Mg    -0.0071210282    -0.2776844478     0.2502684641 
 Mg    -0.4931139720     0.2222873810     0.2501984137 
 Mg     0.4929447718    -0.2222602821    -0.2499833422 

 Si
 Si     0.0709491710     0.4060260255     0.2500883344 
 Si    -0.0712332602    -0.4059501875    -0.2497665194 
 Si    -0.4290142734     0.0940440613    -0.2497998767 
 Si     0.4287239176    -0.0939984415     0.2500733236 

 O1
 O      0.2311733508     0.0909140357    -0.2498565842 
 O     -0.2314490843    -0.0908557437     0.2501417062 
 O     -0.2688945382     0.4091414294     0.2500699879 
 O      0.2686167157    -0.4090850870    -0.2498165554 

 O2
 O      0.2768114338     0.0526372635     0.2501216918 
 O     -0.2770662784    -0.0525575263    -0.2499099560 
 O     -0.2231770773     0.4474386721    -0.2498582521 
 O      0.2228658326    -0.4473618592     0.2501333669 

 O3
 O      0.2231875218     0.3379257922     0.4678317945 
 O     -0.2234465442    -0.3378879706    -0.0320614202 
 O     -0.2768553005     0.1621979077    -0.4674732864 
 O      0.2766464114    -0.1620499358     0.0323098491 
 O     -0.2234298331    -0.3378363072    -0.4674616113 
 O      0.2230872551     0.3379501617     0.0322898347 
 O      0.2764793001    -0.1620947757     0.4678134480 
 O     -0.2767905448     0.1621101773    -0.0320547488 

 Mg    -0.0001190668     0.0000068235     0.0000234335 
 Mg    -0.0002360446     0.0001189234     0.5000183882 
 Mg     0.4996960664    -0.4999416105     0.0000234335 
 Mg     0.4999864222    -0.4999162662     0.5000183882 
 Mg     0.0066719167     0.2777827058    -0.2499465657 
 Mg    -0.0071398283    -0.2776922461     0.2501884899 
 Mg    -0.4930951719     0.2222961540     0.2502051686 
 Mg     0.4929865496    -0.2222466351    -0.2500583128 
 Si     0.0709930377     0.4060104290     0.2501484611 
 Si    -0.0711810379    -0.4059540866    -0.2497997933 
 Si    -0.4290769401     0.0940313892    -0.2498198077 
 Si     0.4287782287    -0.0939828450     0.2500467211 
 O      0.2311148618     0.0909081870    -0.2498981975 
 O     -0.2313759732    -0.0908284498     0.2500934214 
 O     -0.2688882715     0.4091599503     0.2501184395 
 O      0.2685791157    -0.4090763139    -0.2499165441 
 O      0.2768323227     0.0526528600     0.2501201073 
 O     -0.2771205896    -0.0525789715    -0.2499398942 
 O     -0.2231749885     0.4474474451    -0.2498848546 
 O      0.2229222327    -0.4473716071     0.2501734791 
 O      0.2231666329     0.3378780278     0.4677885134 
 O     -0.2234716109    -0.3378450802    -0.0320479939 
 O     -0.2768260560     0.1621491686    -0.4674748709 
 O      0.2765921002    -0.1620479862     0.0323099325 
 O     -0.2234068553    -0.3378509289    -0.4675666036 
 O      0.2231060551     0.3379452878     0.0323816508 
 O      0.2765816558    -0.1621152462     0.4677618275 
 O     -0.2769242338     0.1621277234    -0.0321297194 
 Mg    -0.0000626667     0.0000516635     0.0000200144 
 Mg    -0.0002172446     0.0000974782     0.5000616694 
 Mg     0.4999488222    -0.4999922992     0.0001067435 
 Mg     0.4998151332    -0.4998938462     0.5001067018 
 Mg     0.0066677390     0.2777612606    -0.2499066203 
 Mg    -0.0072505395    -0.2776883469     0.2503368467 
 Mg    -0.4930471275     0.2223185740     0.2502467819 
 Mg     0.4928424162    -0.2222485847    -0.2499082881 
 Si     0.0709888599     0.4060104290     0.2501016774 
 Si    -0.0712040157    -0.4059609101    -0.2497715230 
 Si    -0.4290644068     0.0940372378    -0.2497882017 
 Si     0.4287427176    -0.0939740720     0.2501016774 
