   1   18  2.073 
   1   42  2.084 
   1  108  2.135 
   2   14  2.084 
   2   18  2.073 
   2   83  2.135 
   3   16  2.083 
   3   19  2.073 
   3   22  2.134 
   3   43  2.084 
   3   48  2.072 
   3   54  2.135 
   4   15  2.084 
   4   16  2.083 
   4   19  2.073 
   4   20  2.072 
   4   21  2.135 
   4   25  2.135 
   5   19  2.059 
   5   23  2.226 
   5   28  2.226 
   5   69  2.197 
   5   77  2.078 
   5  110  2.078 
   6   14  2.197 
   6   25  2.078 
   6   76  2.060 
   6   80  2.226 
   6   83  2.225 
   7   15  2.197 
   7   17  2.060 
   7   21  2.226 
   7   23  2.078 
   7   26  2.225 
   8   16  2.197 
   8   18  2.060 
   8   22  2.226 
   8   25  2.226 
   8   27  2.078 
   8   52  2.078 
  13  117  2.196 
  21  117  2.078 
  22   34  2.078 
  28   35  2.078 
  29   46  2.073 
  30   42  2.084 
  30   46  2.073 
  30  111  2.135 
  31   44  2.084 
  31   47  2.073 
  31   50  2.134 
  32   43  2.084 
  32   44  2.083 
  32   47  2.073 
  32   48  2.072 
  32   49  2.135 
  32   53  2.135 
  33   47  2.059 
  33   51  2.226 
  33   56  2.226 
  33   97  2.197 
  33  105  2.078 
  34   42  2.196 
  34   53  2.078 
  34  104  2.060 
  34  108  2.226 
  34  111  2.226 
  35   43  2.197 
  35   45  2.060 
  35   49  2.226 
  35   51  2.078 
  35   54  2.226 
  36   44  2.197 
  36   46  2.060 
  36   50  2.226 
  36   53  2.226 
  36   55  2.078 
  41  145  2.196 
  49  145  2.078 
  54  117  2.078 
  57   74  2.073 
  57   98  2.084 
  57  164  2.135 
  58   70  2.084 
  58   74  2.073 
  58  139  2.135 
  59   72  2.084 
  59   75  2.073 
  59   78  2.135 
  59   99  2.083 
  59  104  2.073 
  59  110  2.135 
  60   71  2.084 
  60   72  2.083 
  60   75  2.073 
  60   76  2.073 
  60   77  2.135 
  60   81  2.135 
  61   75  2.059 
  61   79  2.226 
  61   84  2.226 
  61  125  2.197 
  61  133  2.078 
  61  166  2.078 
  62   70  2.197 
  62   81  2.078 
  62  132  2.060 
  62  136  2.226 
  62  139  2.226 
  63   71  2.197 
  63   73  2.059 
  63   77  2.226 
  63   79  2.078 
  63   82  2.226 
  64   72  2.197 
  64   74  2.059 
  64   78  2.226 
  64   81  2.226 
  64   83  2.078 
  64  108  2.078 
  78   90  2.078 
  84   91  2.078 
  85  102  2.073 
  86   98  2.084 
  86  102  2.073 
  86  167  2.135 
  87  100  2.084 
  87  103  2.073 
  87  106  2.135 
  88   99  2.084 
  88  100  2.083 
  88  103  2.073 
  88  104  2.073 
  88  105  2.135 
  88  109  2.135 
  89  103  2.060 
  89  107  2.226 
  89  112  2.226 
  89  153  2.197 
  89  161  2.078 
  90   98  2.197 
  90  109  2.078 
  90  160  2.060 
  90  164  2.225 
  90  167  2.226 
  91   99  2.197 
  91  101  2.059 
  91  105  2.226 
  91  107  2.078 
  91  110  2.226 
  92  100  2.197 
  92  102  2.059 
  92  106  2.226 
  92  109  2.226 
  92  111  2.078 
 113  130  2.073 
 113  154  2.084 
 114  126  2.084 
 114  130  2.073 
 115  128  2.084 
 115  131  2.073 
 115  134  2.135 
 115  155  2.083 
 115  160  2.072 
 115  166  2.135 
 116  127  2.084 
 116  128  2.083 
 116  131  2.073 
 116  132  2.073 
 116  133  2.135 
 116  137  2.135 
 118  126  2.196 
 118  137  2.078 
 119  127  2.198 
 119  129  2.059 
 119  133  2.225 
 119  135  2.078 
 119  138  2.226 
 120  128  2.197 
 120  130  2.060 
 120  134  2.226 
 120  137  2.226 
 120  139  2.078 
 120  164  2.078 
 134  146  2.078 
 140  147  2.078 
 141  158  2.073 
 142  154  2.085 
 142  158  2.073 
 143  156  2.084 
 143  159  2.073 
 143  162  2.135 
 144  155  2.083 
 144  156  2.083 
 144  159  2.073 
 144  160  2.073 
 144  161  2.135 
 144  165  2.135 
 146  154  2.196 
 146  165  2.078 
 147  155  2.198 
 147  157  2.059 
 147  161  2.226 
 147  163  2.078 
 147  166  2.226 
 148  156  2.197 
 148  158  2.060 
 148  162  2.226 
 148  165  2.226 
 148  167  2.078 
