4 , 0 , 2.8119304871888668206200481879919D+00 , 9.8485467452574389829712692036430D-01  
4 , 4 , 1.4059652435944334103100240939959D+01 , 4.9242733726287194914856346018220D+00  
6 , 0 , 5.4795908739321644069327702900830D-01 , 6.5623422860067524157994035757200D-02   
6 , 4 , -3.8357136117525150848529392030580D+00 , -4.5936396002047266910595825030040D-01   
8 , 0 , 1.2156157302097918942115948482762D+02 , -6.8626119152683450863254261961150D-01   
8 , 4 , 1.2156157302097918942115948482762D+02 , -6.8626119152683450863254261961150D-01  
8 , 8 , 7.9015022463636473123753665137950D+03 , -4.4606977449244243061115270274740D+01  
10 , 0 , 3.1179916736109123107822587274280D+02 , -1.2457280551463641551202434559869D-01  
10 , 4 , -6.8595816819440070837209692003420D+02 , 2.7406017213220011412645356031711D-01   
10 , 8 , -1.1661288859304812042325647640581D+04 , 4.6590229262474019401497105253910D+00   
12 , 0 , 2.4245612747359092217199640516493D+05 , 4.1692731501913177016791478604950D+02  
12 , 4 , 2.0375858264140266510162557633886D+05 , 4.1061218410741854245075379713950D+02  
12 , 8 , 7.0682666545985000701644635107790D+05 , 4.9270888595969050277384665296890D+02  
12 , 12 , 2.3702435984527078287639617913271D+08 , 4.2547490401383123579011584199450D+05  
14 , 0 , 2.0954087119885542648713979286402D+06 , 2.8616631637228685773233790308573D+02  
14 , 4 , -2.6940969154138554834060830511089D+06 , -3.6792812105008310279872016111020D+02  
14 , 8 , -1.7062613797621084728238525990356D+07 , -2.3302114333171929843918943536981D+03  
14 , 12 , -6.5406686224214158124914349629700D+08 , -8.9324771610492397735022616891760D+04  
16 , 0 , 5.4279858299650169624382885076980D+08 , 6.3709709719614919905762046729900D+05   
16 , 4 , 2.2841041529105412872383486949334D+08 , 5.9486986304961071015286445862700D+05  
16 , 8 , 1.2973301854895758582918144058332D+09 , 7.3844245914784157242903488811180D+05  
16 , 12 , 2.5882484900055575638355343741650D+10 , 4.0406121694071514047809547662630D+06  
16 , 16 , 6.9973653547984205656745320248030D+12 , 1.0184121261186984461485623112385D+10  
18 , 0 , 1.4686049951258450810632984509870D+10 , 1.7833814404746090864126676944445D+06  
18 , 4 , -1.5376346487994712576061405817891D+10 , -1.9097270960159450077253196645607D+06  
18 , 8 , -2.4226921558569614141580552133902D+10 , -2.2373412064676267995353888960110D+06  
18 , 12 , -1.0692416604738659056152567751127D+12 , -1.3897171037814018266686814699226D+08  
18 , 16 , -3.9585194668444324327226917843820D+13 , -4.6533202641465144258077188159160D+09  
20 , 0 , 2.9414124910043233182340700935067D+12 , 1.1053789653219762994427196549037D+09  
20 , 4 , 5.0799363324581667612792095666680D+11 , 8.2755105319168490831988163978850D+08  
20 , 8 , 4.3319375525806128280090124574150D+12 , 1.2641377722535713800843413778266D+09   
20 , 12 , 4.7785845726839660008475961329560D+13 , 6.2253504888659176501350202191680D+09   
20 , 16 , 1.6103883836731949966180674427718D+15 , 1.8463055977824588952115743135381D+11   
20 , 20 , 5.0103139602723200237451484155740D+17 , 2.5893801321268771887525639926163D+14   
22 , 0 , 1.5704492101503408409504754273103D+14 , 1.1188314798099373509543326094049D+10   
22 , 4 , -1.3167755327760205855682504734725D+14 , -1.1364375043378396374552862434198D+10   
22 , 8 , -1.9393166587859870027021517253408D+14 , 4.6945875372373758790553675034060D+09   
22 , 12 , -2.7630226717294559142686968259927D+15 , -2.2527270661722018820968108886912D+11   
22 , 16 , -7.0704971434484675384694471850480D+16 , -7.2479381681215892936818916413990D+12  
22 , 20 , -4.7508773151765943949438678688110D+18 , -2.4834111207719641544461672967381D+14   
24 , 0 , 4.9787311095229433652938575184540D+16 , 2.4704225212934667193956424861760D+12   
24 , 4 , 1.7493021689018651360143747826562D+16 , 7.0502764598857933634194782346660D+11   
24 , 8 , 4.7119084871278658307744330422710D+16 , 2.7136910313890117167025715707588D+12  
24 , 12 , 2.7781944545203245639785298766797D+17 , 9.2658227866870085736663159924100D+12  
24 , 16 , 3.9862401037549364700946628653810D+18 , 2.8948213614074147018398125012646D+14  
24 , 20 , 2.0240160016231471677310651847643D+20 , 9.8073169918667025363571289808770D+15   
24 , 24 , 1.4575287885847203932373804828045D+23 , 6.9746220741657790156666561571930D+18  
26 , 0 , 3.8825844842441073885203524994400D+18 , 7.1745213478612173513422219215850D+13   
26 , 4 , -2.3376165598727025780289756197527D+18 , -7.0895063840474616024827652221050D+13   
26 , 8 , -6.3197488917431683443388476518190D+18 , 5.4448588278610124672584943099850D+13   
26 , 12 , -3.1129980912121519262797725822564D+19 , -4.2163944799839020474202346709970D+14   
26 , 16 , -3.3888386262957854342872904451610D+20 , -1.1378882102606209699128692340527D+16  
26 , 20 , -1.0355256572352319780749963504186D+22 , -3.8809211593599788640965444057630D+17   
26 , 24 , -1.6526385068628140243460690481265D+24 , -1.4151940602855398722939592873754D+19  
28 , 0 , 1.5660190510982181376541808145408D+21 , 1.0357152839210027873204448069552D+16  
