12.92,     -610.9540634061196,     -0.089030372103
13.45,     -610.9615434037945,     -0.019068260452
14.87,     -610.9620479418385,     -0.020336655046
17.13,     -610.9620226708943,      0.027574987705
18.73,     -610.9620224853010,     -0.026880387603
23.61,     -610.9620226452041,      0.020554640362      -
26.90,     -610.9620226426691,     -0.003642335779
12.92,     -610.9537310669091,     -0.060714074466
13.45,     -610.9615030348722,     -0.018171265927
14.87,     -610.9620223216235,      0.020335015041
18.73,     -610.9620226200234,     -0.026880400679
23.61,     -610.9620226432801,      0.020554640368




