12.96	-610.9613457172450	0.00000128295474089	-5.89179
13.49	-610.9623956037860	0.00000043546180218	-6.06105
14.92	-610.9622996985230	0.00000027848776124	-6.55519
17.52	-610.9620723455700	0.00000009363499425	-7.02856
18.61	-610.9621697508940	0.00000006579440720	-7.18181
20.79	-610.9621054021600	0.00000003952919426	-7.40308
23.93     -610.9621258940970	0.00000000598875581	-8.22266
27.27	-610.9621302495730	0.00000000114012395	-8.94305
32.35	-610.9621295999320	0.00000000007681669	-10.11454
40.36	-610.9621295585620	0.00000000000910426	-11.04076
46.46	-610.9621295549820	0.00000000000324428	-11.48888

12.92	-610.954063406120	0.00001302755371809	-4.88514
13.45	-610.961543403795	0.00000078440158897	-6.10546
14.87	-610.962047941838	0.00000004140819975	-7.38291
17.13	-610.962023908940	0.00000000207204368	-8.68360
18.73	-610.962022585301	0.00000000009443944    -10.02485
23.61	-610.962022645204	0.00000000000360769    -11.44277
26.9	-610.962022642669	0.00000000000054149    -12.26641







